,Qyh,Qyc,injectionT,Thmin,ehta,V_h,V_c,V_b,V_h_norm,V_c_norm,Q_in,m^2,Cutoff_T,New
0,2.0,2.0,40.0,0.5,0.5649717514124293,0.6243813607467718,0.6136457006556414,0.15537146022504433,0.3121906803733859,0.3068228503278207,3.5400000000000005,1966.666666666667,31.0,0
1,2.0,2.0,40.0,0.7,0.4716981132075471,0.6689254792963981,0.6136691720752954,0.20922516387528198,0.33446273964819906,0.3068345860376477,4.24,2355.5555555555557,34.6,0
2,2.0,2.0,40.0,0.9,0.2659574468085107,0.9945075945960382,0.6137198245851985,0.5782275649794644,0.4972537972980191,0.30685991229259924,7.519999999999999,4177.777777777777,38.2,0
3,2.0,2.0,50.0,0.5,0.5813953488372092,0.39793957755629894,0.6136389500076393,0.274446749836157,0.19896978877814947,0.3068194750038197,3.4400000000000004,1911.1111111111113,36.0,0
4,2.0,2.0,50.0,0.7,0.4739336492890995,0.4295095473454824,0.6136389095058015,0.25619375851901977,0.2147547736727412,0.30681945475290073,4.220000000000001,2344.444444444445,41.599999999999994,0
5,2.0,2.0,50.0,0.9,0.2652519893899205,0.6405312130492372,0.6136822478340807,0.36426074519506924,0.3202656065246186,0.3068411239170403,7.539999999999997,4188.888888888888,47.2,0
6,2.0,2.0,60.0,0.5,0.5847953216374269,0.2939898467777032,0.6136389003240906,0.36268205250250507,0.1469949233888516,0.3068194501620453,3.4200000000000004,1900.0000000000002,41.0,0
7,2.0,2.0,60.0,0.7,0.46511627906976755,0.3209762026140076,0.6136389096879878,0.3467667023383706,0.1604881013070038,0.3068194548439939,4.299999999999999,2388.8888888888882,48.599999999999994,0
8,2.0,2.0,60.0,0.9,0.2564102564102565,0.48498545553494476,0.6136537268338262,0.2943105345745936,0.24249272776747238,0.3068268634169131,7.799999999999997,4333.333333333332,56.2,0
9,2.0,2.0,70.0,0.5,0.5813953488372092,0.23463033332039587,0.6136389071116257,0.413274040791283,0.11731516666019794,0.30681945355581286,3.4400000000000004,1911.1111111111113,46.0,0
10,2.0,2.0,70.0,0.7,0.45454545454545486,0.2583682662376569,0.6136389192197326,0.3990985758891203,0.12918413311882845,0.3068194596098663,4.399999999999997,2444.4444444444425,55.599999999999994,0
11,2.0,2.0,70.0,0.9,0.24570024570024573,0.3974305711060697,0.6136404791793181,0.30586801637870553,0.19871528555303486,0.30682023958965904,8.139999999999999,4522.222222222222,65.2,0
12,2.0,2.0,80.0,0.5,0.5780346820809248,0.19563419702513693,0.6136389007392283,0.4465272015056352,0.09781709851256846,0.30681945036961417,3.4600000000000004,1922.2222222222224,51.0,0
13,2.0,2.0,80.0,0.7,0.4424778761061947,0.21796934362218795,0.6136389165207593,0.4329301769499523,0.10898467181109397,0.30681945826037965,4.52,2511.111111111111,62.599999999999994,0
14,2.0,2.0,80.0,0.9,0.23529411764705893,0.3408078601994616,0.6136388930701346,0.34290147094258006,0.1704039300997308,0.3068194465350673,8.499999999999996,4722.222222222221,74.2,0
15,2.0,2.0,40.0,0.5,0.5649717514124293,0.6243813607467718,0.6136457006556414,0.15537146022504433,0.3121906803733859,0.3068228503278207,3.5400000000000005,1966.666666666667,31.0,0
16,2.0,2.0,40.0,0.7,0.4716981132075471,0.6689254792963981,0.6136691720752954,0.20922516387528198,0.33446273964819906,0.3068345860376477,4.24,2355.5555555555557,34.6,0
17,2.0,2.0,40.0,0.9,0.2659574468085107,0.9945075945960382,0.6137198245851985,0.5782275649794644,0.4972537972980191,0.30685991229259924,7.519999999999999,4177.777777777777,38.2,0
18,2.0,2.0,50.0,0.5,0.5813953488372092,0.39793957755629894,0.6136389500076393,0.274446749836157,0.19896978877814947,0.3068194750038197,3.4400000000000004,1911.1111111111113,36.0,0
19,2.0,2.0,50.0,0.7,0.4739336492890995,0.4295095473454824,0.6136389095058015,0.25619375851901977,0.2147547736727412,0.30681945475290073,4.220000000000001,2344.444444444445,41.599999999999994,0
20,2.0,2.0,50.0,0.9,0.2652519893899205,0.6405312130492372,0.6136822478340807,0.36426074519506924,0.3202656065246186,0.3068411239170403,7.539999999999997,4188.888888888888,47.2,0
21,2.0,2.0,60.0,0.5,0.5847953216374269,0.2939898467777032,0.6136389003240906,0.36268205250250507,0.1469949233888516,0.3068194501620453,3.4200000000000004,1900.0000000000002,41.0,0
22,2.0,2.0,60.0,0.7,0.46511627906976755,0.3209762026140076,0.6136389096879878,0.3467667023383706,0.1604881013070038,0.3068194548439939,4.299999999999999,2388.8888888888882,48.599999999999994,0
23,2.0,2.0,60.0,0.9,0.2564102564102565,0.48498545553494476,0.6136537268338262,0.2943105345745936,0.24249272776747238,0.3068268634169131,7.799999999999997,4333.333333333332,56.2,0
24,2.0,2.0,70.0,0.5,0.5813953488372092,0.23463033332039587,0.6136389071116257,0.413274040791283,0.11731516666019794,0.30681945355581286,3.4400000000000004,1911.1111111111113,46.0,0
25,2.0,2.0,70.0,0.7,0.45454545454545486,0.2583682662376569,0.6136389192197326,0.3990985758891203,0.12918413311882845,0.3068194596098663,4.399999999999997,2444.4444444444425,55.599999999999994,0
26,2.0,2.0,70.0,0.9,0.24570024570024573,0.3974305711060697,0.6136404791793181,0.30586801637870553,0.19871528555303486,0.30682023958965904,8.139999999999999,4522.222222222222,65.2,0
27,2.0,2.0,80.0,0.5,0.5780346820809248,0.19563419702513693,0.6136389007392283,0.4465272015056352,0.09781709851256846,0.30681945036961417,3.4600000000000004,1922.2222222222224,51.0,0
28,2.0,2.0,80.0,0.7,0.4424778761061947,0.21796934362218795,0.6136389165207593,0.4329301769499523,0.10898467181109397,0.30681945826037965,4.52,2511.111111111111,62.599999999999994,0
29,2.0,2.0,80.0,0.9,0.23529411764705893,0.3408078601994616,0.6136388930701346,0.34290147094258006,0.1704039300997308,0.3068194465350673,8.499999999999996,4722.222222222221,74.2,0
30,2.0,2.0,40.0,0.5,0.36363636363636365,0.6242172267640156,0.8210876665283094,0.3990100710897793,0.3121086133820078,0.4105438332641547,5.5,3055.5555555555557,31.0,1
31,2.0,2.0,40.0,0.7,0.30303030303030315,0.6691680871225711,0.8211156054736236,0.5041758742114185,0.33458404356128557,0.4105578027368118,6.599999999999997,3666.666666666665,34.6,1
32,2.0,2.0,40.0,0.9,0.1712328767123288,0.9933040693574934,0.8211149284703801,0.8740000819427911,0.4966520346787467,0.4105574642351901,11.679999999999996,6488.888888888887,38.2,1
33,2.0,2.0,50.0,0.5,0.5025125628140702,0.3921371517477914,0.7258770550185779,0.3838180901118714,0.1960685758738957,0.36293852750928896,3.9800000000000013,2211.1111111111118,36.0,1
34,2.0,2.0,50.0,0.7,0.4016064257028114,0.42528458835809674,0.7942669984327715,0.43164272222005673,0.21264229417904837,0.39713349921638574,4.979999999999998,2766.6666666666656,41.599999999999994,1
35,2.0,2.0,50.0,0.9,0.19531250000000003,0.6408832790526569,0.8211157069069515,0.6615877616064809,0.3204416395263284,0.41055785345347573,10.239999999999998,5688.888888888888,47.2,1
36,2.0,2.0,60.0,0.5,0.5235602094240837,0.29098172414365814,0.6848508050090534,0.4319196686085004,0.14549086207182907,0.3424254025045267,3.8200000000000007,2122.2222222222226,41.0,1
37,2.0,2.0,60.0,0.7,0.4166666666666669,0.31774055623683156,0.724666563921175,0.45473827401178796,0.15887027811841578,0.3623332819605875,4.799999999999997,2666.666666666665,48.599999999999994,1
38,2.0,2.0,60.0,0.9,0.20283975659229217,0.48538339314830936,0.8211159888287678,0.572069987122035,0.24269169657415468,0.4105579944143839,9.859999999999996,5477.777777777776,56.2,1
39,2.0,2.0,70.0,0.5,0.53475935828877,0.23206366383418153,0.6735376165606772,0.47230461983925337,0.11603183191709077,0.3367688082803386,3.7400000000000007,2077.7777777777783,46.0,1
40,2.0,2.0,70.0,0.7,0.4166666666666669,0.25615275881120253,0.6990929848379541,0.4825089924351856,0.12807637940560126,0.34954649241897706,4.799999999999997,2666.666666666665,55.599999999999994,1
41,2.0,2.0,70.0,0.9,0.20618556701030938,0.3958691866242477,0.8197113915790007,0.522160945303106,0.19793459331212385,0.4098556957895004,9.699999999999996,5388.888888888887,65.2,1
42,2.0,2.0,80.0,0.5,0.53475935828877,0.1946344910065085,0.6692539708542179,0.5009162273483191,0.09731724550325425,0.33462698542710895,3.7400000000000007,2077.7777777777783,51.0,1
43,2.0,2.0,80.0,0.7,0.4115226337448559,0.21636313348617367,0.6877917107868241,0.5056002842371589,0.10818156674308683,0.34389585539341205,4.86,2700.0000000000005,62.599999999999994,1
44,2.0,2.0,80.0,0.9,0.2169197396963124,0.33912837704321025,0.7921188616961449,0.5178182982375065,0.16956418852160512,0.39605943084807244,9.219999999999999,5122.222222222222,74.2,1
