,Qyh,Qyc,injectionT,Thmin,ehta,V_h,V_c,V_b,V_h_norm,V_c_norm,Q_in,m^2
0,5.0,5.0,50.0,0.1,0.6711409395973152,1.1130946879392485,1.5175768074394231,0.7335745415475688,0.2226189375878497,0.3035153614878846,7.450000000000002,4138.8888888888905
1,5.0,5.0,50.0,0.3,0.6622516556291391,1.0011470772283118,1.517583422274875,0.6779779131186557,0.20022941544566236,0.303516684454975,7.55,4194.444444444444
2,5.0,5.0,50.0,0.5,0.5952380952380952,0.9814378431222456,1.5175860412062891,0.6796008290804824,0.19628756862444913,0.30351720824125783,8.4,4666.666666666667
3,5.0,5.0,50.0,0.7,0.48076923076923106,1.0657991721011912,1.5175855009645438,0.6293855724761849,0.21315983442023825,0.3035171001929088,10.399999999999993,5777.777777777774
4,5.0,5.0,50.0,0.9,0.2849002849002849,1.51532836512481,1.5176191369541403,0.8364288304163935,0.303065673024962,0.30352382739082806,17.55,9750.0
5,5.0,5.0,70.0,0.1,0.6451612903225806,0.7656597094666642,1.5176174758683791,0.9153263435752496,0.15313194189333285,0.30352349517367583,7.75,4305.555555555556
6,5.0,5.0,70.0,0.3,0.5813953488372092,0.6708961873165877,1.5176218385769864,0.932405861409093,0.13417923746331756,0.30352436771539726,8.600000000000001,4777.777777777778
7,5.0,5.0,70.0,0.5,0.4424778761061947,0.7082592470804879,1.5176221408676416,0.9219282179660724,0.1416518494160976,0.3035244281735283,11.299999999999999,6277.777777777777
8,5.0,5.0,70.0,0.7,0.29154518950437314,0.8981863110811512,1.5176220456819394,0.7902749394733994,0.17963726221623025,0.3035244091363879,17.150000000000002,9527.77777777778
9,5.0,5.0,70.0,0.9,0.15105740181268884,1.5039906691695595,1.5176661895674937,1.0871405836117658,0.3007981338339119,0.30353323791349873,33.099999999999994,18388.888888888887
10,5.0,5.0,90.0,0.1,0.5714285714285714,0.6792526096027743,1.5176894512130679,0.9458795124230877,0.13585052192055486,0.3035378902426136,8.75,4861.111111111111
11,5.0,5.0,90.0,0.3,0.4237288135593221,0.6006341500843174,1.5176929791289089,1.0000432816272407,0.12012683001686349,0.3035385958257818,11.799999999999997,6555.555555555554
12,5.0,5.0,90.0,0.5,0.2463054187192119,0.7641915674823118,1.5176929976653932,0.8962522208279149,0.15283831349646235,0.30353859953307866,20.299999999999994,11277.777777777774
13,5.0,5.0,90.0,0.7,0.13245033112582782,1.2148612570912904,1.5177147854661703,0.8739527337283821,0.2429722514182581,0.3035429570932341,37.75,20972.222222222223
14,5.0,5.0,90.0,0.9,0.10526315789473684,1.408300302977891,1.5177386273655231,1.217075220137259,0.28166006059557824,0.3035477254731046,47.5,26388.88888888889
